work_year,experience_level,job_title,salary_currency,salary_in_usd,employee_residence,company_size
2022,SE,Analytics Engineer,USD,184700,US,M
2022,SE,Data Engineer,USD,175100,US,M
2022,SE,Data Engineer,USD,140250,US,M
2022,SE,Data Analyst,USD,116150,US,M
2022,SE,Data Engineer,USD,54000,US,M
2022,SE,Data Analyst,USD,170000,US,M
2022,MI,Data Analyst,GBP,65438,GB,M
2022,SE,Data Analyst,USD,80000,US,M
2022,SE,Data Scientist,USD,140000,US,M
2022,SE,Data Scientist,USD,210000,US,M
2022,SE,Data Scientist,USD,140000,US,M
2022,SE,Data Analyst,USD,100000,US,M
2022,SE,Data Analyst,USD,69000,US,M
2022,SE,Data Scientist,USD,210000,US,M
2022,SE,Data Scientist,USD,140000,US,M
2022,SE,Data Scientist,USD,210000,US,M
2022,SE,Data Analyst,USD,150075,US,M
2022,SE,Data Engineer,USD,100000,US,M
2022,SE,Data Engineer,USD,25000,US,M
2022,SE,Data Analyst,USD,126500,US,M
2022,SE,Data Analyst,USD,106260,US,M
2022,SE,Data Engineer,USD,220110,US,M
2022,SE,Data Engineer,USD,160080,US,M
2022,SE,Data Analyst,USD,105000,US,M
2022,SE,Data Analyst,USD,110925,US,M
2022,MI,Data Analyst,GBP,45807,GB,M
2022,SE,Data Scientist,USD,140000,US,M
2022,SE,Data Analyst,USD,99000,US,M
2022,SE,Data Analyst,USD,60000,US,M
2022,SE,Data Architect,USD,192564,US,M
2022,SE,Data Architect,USD,144854,US,M
2022,SE,Data Scientist,USD,230000,US,M
2022,SE,Data Scientist,USD,150000,US,M
2022,SE,Data Analytics Manager,USD,150260,US,M
2022,SE,Data Analytics Manager,USD,109280,US,M
2022,SE,Data Scientist,USD,210000,US,M
2022,SE,Data Analyst,USD,170000,US,M
2022,MI,Data Scientist,USD,160000,US,M
2022,MI,Data Scientist,USD,130000,US,M
2022,EN,Data Analyst,USD,67000,CA,M
2022,EN,Data Analyst,USD,52000,CA,M
2022,SE,Data Engineer,USD,154000,US,M
2022,SE,Data Engineer,USD,126000,US,M
2022,SE,Data Analyst,USD,129000,US,M
2022,SE,Data Analyst,USD,150000,US,M
2022,MI,AI Scientist,USD,200000,IN,L
